Day,cases,Sample,Cooutries/States,Mask Mandate/Hygiene,Variant,Vax rate,Lockdown,Period
1,30,1,Sydney,2,3,20%,3,Aug-21
2,36,1,Sydney,2,3,20%,3,Aug-21
3,22,1,Sydney,2,3,20%,3,Aug-21
4,31,1,Sydney,2,3,20%,3,Aug-21
5,16,1,Sydney,2,3,20%,3,Aug-21
6,33,1,Sydney,2,3,20%,3,Aug-21
7,37,1,Sydney,2,3,20%,3,Aug-21
8,45,1,Sydney,2,3,20%,3,Aug-21
9,50,1,Sydney,2,3,20%,3,Aug-21
10,105,1,Sydney,2,3,20%,3,Aug-21
11,121,1,Sydney,2,3,20%,3,Aug-21
12,73,1,Sydney,2,3,20%,3,Aug-21
13,90,1,Sydney,2,3,20%,3,Aug-21
14,75,1,Sydney,2,3,20%,3,Aug-21
15,103,1,Sydney,2,3,20%,3,Aug-21
16,111,1,Sydney,2,3,20%,3,Aug-21
17,99,1,Sydney,2,3,20%,3,Aug-21
18,111,1,Sydney,2,3,20%,3,Aug-21
19,65,1,Sydney,2,3,20%,3,Aug-21
20,107,1,Sydney,2,3,20%,3,Aug-21
21,143,1,Sydney,2,3,20%,3,Aug-21
22,142,1,Sydney,2,3,20%,3,Aug-21
23,151,1,Sydney,2,3,20%,3,Aug-21
24,142,1,Sydney,2,3,20%,3,Aug-21
25,170,1,Sydney,2,3,20%,3,Aug-21
26,143,1,Sydney,2,3,20%,3,Aug-21
27,162,1,Sydney,2,3,20%,3,Aug-21
28,257,1,Sydney,2,3,20%,3,Aug-21
29,183,1,Sydney,2,3,20%,3,Aug-21
30,200,1,Sydney,2,3,20%,3,Aug-21
1,14,2,Sydney,2,1,0%,3,Mar-20
2,19,2,Sydney,2,1,0%,3,Mar-20
3,20,2,Sydney,2,1,0%,3,Mar-20
4,38,2,Sydney,2,1,0%,3,Mar-20
5,29,2,Sydney,2,1,0%,3,Mar-20
6,64,2,Sydney,2,1,0%,3,Mar-20
7,45,2,Sydney,2,1,0%,3,Mar-20
8,56,2,Sydney,2,1,0%,3,Mar-20
9,88,2,Sydney,2,1,0%,3,Mar-20
10,122,2,Sydney,2,1,0%,3,Mar-20
11,121,2,Sydney,2,1,0%,3,Mar-20
12,177,2,Sydney,2,1,0%,3,Mar-20
13,192,2,Sydney,2,1,0%,3,Mar-20
14,206,2,Sydney,2,1,0%,3,Mar-20
15,185,2,Sydney,2,1,0%,3,Mar-20
16,213,2,Sydney,2,1,0%,3,Mar-20
17,143,2,Sydney,2,1,0%,3,Mar-20
18,124,2,Sydney,2,1,0%,3,Mar-20
19,90,2,Sydney,2,1,0%,3,Mar-20
20,131,2,Sydney,2,1,0%,3,Mar-20
21,124,2,Sydney,2,1,0%,3,Mar-20
22,92,2,Sydney,2,1,0%,3,Mar-20
23,106,2,Sydney,2,1,0%,3,Mar-20
24,73,2,Sydney,2,1,0%,3,Mar-20
25,63,2,Sydney,2,1,0%,3,Mar-20
26,40,2,Sydney,2,1,0%,3,Mar-20
27,44,2,Sydney,2,1,0%,3,Mar-20
28,44,2,Sydney,2,1,0%,3,Mar-20
29,41,2,Sydney,2,1,0%,3,Mar-20
30,30,2,Sydney,2,1,0%,3,Mar-20
1,3,3,Sydney,2,1,0%,3,Jan-21
2,5,3,Sydney,2,1,0%,3,Jan-21
3,7,3,Sydney,2,1,0%,3,Jan-21
4,3,3,Sydney,2,1,0%,3,Jan-21
5,9,3,Sydney,2,1,0%,3,Jan-21
6,25,3,Sydney,2,1,0%,3,Jan-21
7,28,3,Sydney,2,1,0%,3,Jan-21
8,32,3,Sydney,2,1,0%,3,Jan-21
9,28,3,Sydney,2,1,0%,3,Jan-21
10,12,3,Sydney,2,1,0%,3,Jan-21
11,13,3,Sydney,2,1,0%,3,Jan-21
12,21,3,Sydney,2,1,0%,3,Jan-21
13,12,3,Sydney,2,1,0%,3,Jan-21
14,11,3,Sydney,2,1,0%,3,Jan-21
15,13,3,Sydney,2,1,0%,3,Jan-21
